Accession	Description
W5PMM7	Protein disulfide-isomerase (Fragment) OS=Ovis aries GN=PDIA3 PE=3 SV=1 - [W5PMM7_SHEEP]
W5PMQ4	Uncharacterized protein OS=Ovis aries GN=HSD17B7 PE=4 SV=1 - [W5PMQ4_SHEEP]
W5PMT0	Uncharacterized protein OS=Ovis aries GN=XDH PE=4 SV=1 - [W5PMT0_SHEEP]
W5PN55	Uncharacterized protein (Fragment) OS=Ovis aries GN=GABBR2 PE=4 SV=1 - [W5PN55_SHEEP]
W5PN88	Uncharacterized protein (Fragment) OS=Ovis aries GN=EEF2 PE=4 SV=1 - [W5PN88_SHEEP]
W5PN97	Uncharacterized protein OS=Ovis aries GN=CLEC3B PE=4 SV=1 - [W5PN97_SHEEP]
W5PND2	Uncharacterized protein OS=Ovis aries GN=DDR1 PE=4 SV=1 - [W5PND2_SHEEP]
W5PND3	Uncharacterized protein OS=Ovis aries GN=TFE3 PE=4 SV=1 - [W5PND3_SHEEP]
W5PNI5	Uncharacterized protein (Fragment) OS=Ovis aries GN=MYH7B PE=4 SV=1 - [W5PNI5_SHEEP]
W5PNM6	Uncharacterized protein OS=Ovis aries GN=NAPA PE=4 SV=1 - [W5PNM6_SHEEP]
W5PNP1	Uncharacterized protein OS=Ovis aries GN=MFGE8 PE=4 SV=1 - [W5PNP1_SHEEP]
W5PNP6	Uncharacterized protein OS=Ovis aries GN=DAPK3 PE=4 SV=1 - [W5PNP6_SHEEP]
W5PNR1	Uncharacterized protein OS=Ovis aries GN=MON1A PE=4 SV=1 - [W5PNR1_SHEEP]
W5PNV0	Uncharacterized protein (Fragment) OS=Ovis aries GN=RPL12 PE=3 SV=1 - [W5PNV0_SHEEP]
W5PNY4	Pyridoxal kinase (Fragment) OS=Ovis aries GN=PDXK PE=4 SV=1 - [W5PNY4_SHEEP]
W5PP04	Guanine nucleotide-binding protein subunit gamma OS=Ovis aries GN=GNG12 PE=3 SV=1 - [W5PP04_SHEEP]
W5PP10	Uncharacterized protein (Fragment) OS=Ovis aries GN=ATXN7 PE=4 SV=1 - [W5PP10_SHEEP]
W5PPA2	Uncharacterized protein OS=Ovis aries GN=SCYL3 PE=4 SV=1 - [W5PPA2_SHEEP]
W5PPD6	Uncharacterized protein OS=Ovis aries GN=FLOT1 PE=4 SV=1 - [W5PPD6_SHEEP]
W5PPD9	Uncharacterized protein (Fragment) OS=Ovis aries GN=POLG PE=3 SV=1 - [W5PPD9_SHEEP]
W5PPF7	Uncharacterized protein (Fragment) OS=Ovis aries GN=ENAM PE=4 SV=1 - [W5PPF7_SHEEP]
W5PPG6	Uncharacterized protein OS=Ovis aries GN=MYH1 PE=4 SV=1 - [W5PPG6_SHEEP]
W5PPH6	Uncharacterized protein OS=Ovis aries GN=RPS3 PE=3 SV=1 - [W5PPH6_SHEEP]
W5PPJ1	Uncharacterized protein OS=Ovis aries GN=NCKAP5 PE=4 SV=1 - [W5PPJ1_SHEEP]
W5PPM8	Uncharacterized protein OS=Ovis aries GN=DEPDC1 PE=4 SV=1 - [W5PPM8_SHEEP]
W5PPQ8	Uncharacterized protein (Fragment) OS=Ovis aries GN=IGJ PE=4 SV=1 - [W5PPQ8_SHEEP]
W5PPT6	Uncharacterized protein OS=Ovis aries GN=TUBB2A PE=3 SV=1 - [W5PPT6_SHEEP]
W5PPX8	Uncharacterized protein (Fragment) OS=Ovis aries GN=SORCS2 PE=4 SV=1 - [W5PPX8_SHEEP]
W5PPZ4	Olfactory receptor (Fragment) OS=Ovis aries PE=3 SV=1 - [W5PPZ4_SHEEP]
W5PQ39	Uncharacterized protein OS=Ovis aries GN=LRRC7 PE=4 SV=1 - [W5PQ39_SHEEP]
W5PQ56	Uncharacterized protein OS=Ovis aries GN=RUFY3 PE=4 SV=1 - [W5PQ56_SHEEP]
W5PQD4	Uncharacterized protein (Fragment) OS=Ovis aries GN=PRADC1 PE=4 SV=1 - [W5PQD4_SHEEP]
W5PQE9	Calcium-transporting ATPase OS=Ovis aries GN=ATP2B2 PE=3 SV=1 - [W5PQE9_SHEEP]
W5PQH0	Uncharacterized protein OS=Ovis aries GN=ANPEP PE=4 SV=1 - [W5PQH0_SHEEP]
W5PQK6	Uncharacterized protein (Fragment) OS=Ovis aries GN=TLN1 PE=4 SV=1 - [W5PQK6_SHEEP]
W5PQM7	Uncharacterized protein OS=Ovis aries GN=APC2 PE=4 SV=1 - [W5PQM7_SHEEP]
W5PQR6	Uncharacterized protein OS=Ovis aries GN=EFCAB3 PE=4 SV=1 - [W5PQR6_SHEEP]
W5PQX7	Uncharacterized protein (Fragment) OS=Ovis aries GN=DUSP27 PE=4 SV=1 - [W5PQX7_SHEEP]
W5PR82	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PR82_SHEEP]
W5PR89	Uncharacterized protein OS=Ovis aries GN=STAMBP PE=4 SV=1 - [W5PR89_SHEEP]
W5PRA1	Uncharacterized protein OS=Ovis aries GN=ACTG2 PE=3 SV=1 - [W5PRA1_SHEEP]
W5PRI4	Receptor protein-tyrosine kinase OS=Ovis aries GN=FLT1 PE=3 SV=1 - [W5PRI4_SHEEP]
W5PRJ4	Uncharacterized protein (Fragment) OS=Ovis aries GN=VCP PE=3 SV=1 - [W5PRJ4_SHEEP]
W5PRL0	Receptor protein-tyrosine kinase OS=Ovis aries GN=EPHA7 PE=4 SV=1 - [W5PRL0_SHEEP]
W5PRR5	Leukotriene A(4) hydrolase OS=Ovis aries GN=LTA4H PE=3 SV=1 - [W5PRR5_SHEEP]
W5PS11	Phosphoserine aminotransferase (Fragment) OS=Ovis aries GN=PSAT1 PE=3 SV=1 - [W5PS11_SHEEP]
W5PS33	Uncharacterized protein OS=Ovis aries GN=GSDMA PE=4 SV=1 - [W5PS33_SHEEP]
W5PS44	Uncharacterized protein (Fragment) OS=Ovis aries GN=GPRC5B PE=4 SV=1 - [W5PS44_SHEEP]
W5PS45	Alpha-mannosidase (Fragment) OS=Ovis aries GN=MAN2B1 PE=3 SV=1 - [W5PS45_SHEEP]
W5PS58	Uncharacterized protein OS=Ovis aries GN=SRPR PE=4 SV=1 - [W5PS58_SHEEP]
W5PS94	Uncharacterized protein OS=Ovis aries GN=NUCB1 PE=4 SV=1 - [W5PS94_SHEEP]
W5PSA3	Uncharacterized protein OS=Ovis aries GN=TCN1 PE=4 SV=1 - [W5PSA3_SHEEP]
W5PSC1	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PSC1_SHEEP]
W5PSD5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5PSD5_SHEEP]
W5PSD8	Uncharacterized protein OS=Ovis aries GN=GP2 PE=4 SV=1 - [W5PSD8_SHEEP]
W5PSF3	Uncharacterized protein (Fragment) OS=Ovis aries GN=DBI PE=4 SV=1 - [W5PSF3_SHEEP]
W5PSH5	Uncharacterized protein (Fragment) OS=Ovis aries GN=POFUT2 PE=4 SV=1 - [W5PSH5_SHEEP]
W5PSJ5	Uncharacterized protein OS=Ovis aries GN=SFT2D2 PE=4 SV=1 - [W5PSJ5_SHEEP]
W5PSJ8	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PSJ8_SHEEP]
W5PSK1	Uncharacterized protein OS=Ovis aries GN=HYOU1 PE=3 SV=1 - [W5PSK1_SHEEP]
W5PSK1	Uncharacterized protein OS=Ovis aries GN=HYOU1 PE=3 SV=1 - [W5PSK1_SHEEP]
W5PSM5	Uncharacterized protein (Fragment) OS=Ovis aries GN=LSM4 PE=4 SV=1 - [W5PSM5_SHEEP]
W5PSP9	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PSP9_SHEEP]
W5PSQ7	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5PSQ7_SHEEP]
W5PSY1	Uncharacterized protein OS=Ovis aries GN=PBX3 PE=4 SV=1 - [W5PSY1_SHEEP]
W5PSZ5	Annexin OS=Ovis aries GN=ANXA1 PE=3 SV=1 - [W5PSZ5_SHEEP]
W5PT68	Uncharacterized protein OS=Ovis aries GN=FLNB PE=4 SV=1 - [W5PT68_SHEEP]
W5PTA8	Uncharacterized protein OS=Ovis aries GN=FURIN PE=3 SV=1 - [W5PTA8_SHEEP]
W5PTC8	Uncharacterized protein (Fragment) OS=Ovis aries GN=MCM4 PE=3 SV=1 - [W5PTC8_SHEEP]
W5PTG9	Uncharacterized protein OS=Ovis aries GN=GC PE=4 SV=1 - [W5PTG9_SHEEP]
W5PTR5	Uncharacterized protein (Fragment) OS=Ovis aries GN=HSPA5 PE=3 SV=1 - [W5PTR5_SHEEP]
W5PTS4	Uncharacterized protein OS=Ovis aries GN=RNASE4 PE=3 SV=1 - [W5PTS4_SHEEP]
W5PTW5	Uncharacterized protein OS=Ovis aries GN=RALB PE=4 SV=1 - [W5PTW5_SHEEP]
W5PTZ8	Uncharacterized protein OS=Ovis aries GN=LOC101114959 PE=3 SV=1 - [W5PTZ8_SHEEP]
W5PU19	Terpene cyclase/mutase family member OS=Ovis aries GN=LSS PE=3 SV=1 - [W5PU19_SHEEP]
W5PU65	Uncharacterized protein OS=Ovis aries GN=IKBIP PE=4 SV=1 - [W5PU65_SHEEP]
W5PU66	Uncharacterized protein OS=Ovis aries GN=IQGAP1 PE=4 SV=1 - [W5PU66_SHEEP]
W5PU70	Uncharacterized protein OS=Ovis aries GN=MUC16 PE=4 SV=1 - [W5PU70_SHEEP]
W5PU89	Uncharacterized protein OS=Ovis aries GN=ALDH16A1 PE=4 SV=1 - [W5PU89_SHEEP]
W5PUD2	40S ribosomal protein S21 OS=Ovis aries GN=RPS21 PE=3 SV=1 - [W5PUD2_SHEEP]
W5PUD4	Uncharacterized protein OS=Ovis aries GN=ZNF292 PE=4 SV=1 - [W5PUD4_SHEEP]
W5PUH5	Uncharacterized protein OS=Ovis aries GN=LGMN PE=4 SV=1 - [W5PUH5_SHEEP]
W5PUH6	Uncharacterized protein (Fragment) OS=Ovis aries GN=MARC1 PE=4 SV=1 - [W5PUH6_SHEEP]
W5PUH7	Uncharacterized protein (Fragment) OS=Ovis aries GN=GSTP1 PE=3 SV=1 - [W5PUH7_SHEEP]
W5PUJ0	Uncharacterized protein OS=Ovis aries GN=SHROOM1 PE=4 SV=1 - [W5PUJ0_SHEEP]
W5PUJ4	Uncharacterized protein (Fragment) OS=Ovis aries GN=SYNCRIP PE=4 SV=1 - [W5PUJ4_SHEEP]
W5PUJ8	Uncharacterized protein OS=Ovis aries GN=TXLNG PE=4 SV=1 - [W5PUJ8_SHEEP]
W5PUU2	Uncharacterized protein OS=Ovis aries GN=RRAS PE=4 SV=1 - [W5PUU2_SHEEP]
W5PUV3	Uncharacterized protein OS=Ovis aries GN=NT5E PE=3 SV=1 - [W5PUV3_SHEEP]
W5PUY2	Uncharacterized protein OS=Ovis aries GN=VLDLR PE=4 SV=1 - [W5PUY2_SHEEP]
W5PV41	Uncharacterized protein OS=Ovis aries GN=HHIPL2 PE=4 SV=1 - [W5PV41_SHEEP]
W5PV56	Uncharacterized protein (Fragment) OS=Ovis aries GN=CAPN5 PE=4 SV=1 - [W5PV56_SHEEP]
W5PV60	Uncharacterized protein (Fragment) OS=Ovis aries GN=ADCK2 PE=4 SV=1 - [W5PV60_SHEEP]
W5PV84	Amino acid transporter (Fragment) OS=Ovis aries GN=EAAT3 PE=3 SV=1 - [W5PV84_SHEEP]
W5PVC5	Uncharacterized protein OS=Ovis aries GN=MRPS24 PE=4 SV=1 - [W5PVC5_SHEEP]
W5PVL4	Uncharacterized protein OS=Ovis aries GN=MBL2 PE=4 SV=1 - [W5PVL4_SHEEP]
W5PVL8	Uncharacterized protein OS=Ovis aries GN=DNAH5 PE=4 SV=1 - [W5PVL8_SHEEP]
W5PVM8	Uncharacterized protein OS=Ovis aries GN=UBR7 PE=4 SV=1 - [W5PVM8_SHEEP]
W5PVQ2	Protein-tyrosine-phosphatase OS=Ovis aries GN=PTPRK PE=4 SV=1 - [W5PVQ2_SHEEP]
W5PVU2	Uncharacterized protein OS=Ovis aries GN=STYXL1 PE=4 SV=1 - [W5PVU2_SHEEP]
W5PVV9	Uncharacterized protein (Fragment) OS=Ovis aries GN=MIA3 PE=4 SV=1 - [W5PVV9_SHEEP]
W5PVY3	Uncharacterized protein OS=Ovis aries GN=ADGRL2 PE=4 SV=1 - [W5PVY3_SHEEP]
W5PVZ9	Uncharacterized protein OS=Ovis aries GN=DAG1 PE=4 SV=1 - [W5PVZ9_SHEEP]
W5PW00	Uncharacterized protein (Fragment) OS=Ovis aries GN=PTOV1 PE=4 SV=1 - [W5PW00_SHEEP]
W5PW11	Uncharacterized protein OS=Ovis aries GN=SCML2 PE=4 SV=1 - [W5PW11_SHEEP]
W5PW21	Uncharacterized protein OS=Ovis aries GN=ITIH2 PE=4 SV=1 - [W5PW21_SHEEP]
W5PW46	Uncharacterized protein (Fragment) OS=Ovis aries GN=FAM178B PE=4 SV=1 - [W5PW46_SHEEP]
W5PWG1	Uncharacterized protein (Fragment) OS=Ovis aries GN=PFKP PE=4 SV=1 - [W5PWG1_SHEEP]
W5PWJ0	Uncharacterized protein (Fragment) OS=Ovis aries GN=GRB10 PE=4 SV=1 - [W5PWJ0_SHEEP]
W5PWN5	Uncharacterized protein OS=Ovis aries GN=STRBP PE=4 SV=1 - [W5PWN5_SHEEP]
W5PWS2	Uncharacterized protein OS=Ovis aries GN=HOMER2 PE=4 SV=1 - [W5PWS2_SHEEP]
W5PWS5	Uncharacterized protein OS=Ovis aries GN=DNAH3 PE=4 SV=1 - [W5PWS5_SHEEP]
W5PWT9	Uncharacterized protein OS=Ovis aries GN=DOPEY2 PE=4 SV=1 - [W5PWT9_SHEEP]
W5PWU4	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5PWU4_SHEEP]
W5PWV4	Uncharacterized protein OS=Ovis aries GN=IL12RB1 PE=4 SV=1 - [W5PWV4_SHEEP]
W5PWY0	Arginase (Fragment) OS=Ovis aries GN=ARG1 PE=3 SV=1 - [W5PWY0_SHEEP]
W5PWY5	Uncharacterized protein (Fragment) OS=Ovis aries GN=GLB1L3 PE=3 SV=1 - [W5PWY5_SHEEP]
W5PX17	Uncharacterized protein (Fragment) OS=Ovis aries GN=TMEM249 PE=4 SV=1 - [W5PX17_SHEEP]
W5PX59	Uncharacterized protein OS=Ovis aries GN=EMC10 PE=4 SV=1 - [W5PX59_SHEEP]
W5PX66	Uncharacterized protein OS=Ovis aries GN=TIAM1 PE=4 SV=1 - [W5PX66_SHEEP]
W5PXC8	Uncharacterized protein OS=Ovis aries GN=SERPINF2 PE=3 SV=1 - [W5PXC8_SHEEP]
W5PXF5	Uncharacterized protein (Fragment) OS=Ovis aries GN=PROM2 PE=4 SV=1 - [W5PXF5_SHEEP]
W5PXF6	Uncharacterized protein OS=Ovis aries GN=PROM2 PE=4 SV=1 - [W5PXF6_SHEEP]
W5PXI3	Uncharacterized protein OS=Ovis aries GN=AFM PE=4 SV=1 - [W5PXI3_SHEEP]
W5PXR1	Uncharacterized protein (Fragment) OS=Ovis aries GN=ENPP1 PE=4 SV=1 - [W5PXR1_SHEEP]
W5PXU2	Uncharacterized protein OS=Ovis aries GN=SAR1B PE=3 SV=1 - [W5PXU2_SHEEP]
W5PY10	Uncharacterized protein (Fragment) OS=Ovis aries GN=MUC15 PE=4 SV=1 - [W5PY10_SHEEP]
W5PY31	Uncharacterized protein OS=Ovis aries GN=TENM2 PE=4 SV=1 - [W5PY31_SHEEP]
W5PY36	Uncharacterized protein OS=Ovis aries GN=ST5 PE=4 SV=1 - [W5PY36_SHEEP]
W5PY84	Uncharacterized protein OS=Ovis aries GN=SEMA5A PE=4 SV=1 - [W5PY84_SHEEP]
W5PYB9	Uncharacterized protein OS=Ovis aries GN=ABCA6 PE=4 SV=1 - [W5PYB9_SHEEP]
W5PYJ4	Uncharacterized protein OS=Ovis aries GN=ZP2 PE=4 SV=1 - [W5PYJ4_SHEEP]
W5PYK0	Uncharacterized protein OS=Ovis aries GN=EIF4A1 PE=3 SV=1 - [W5PYK0_SHEEP]
W5PYL6	Uncharacterized protein (Fragment) OS=Ovis aries GN=VPS9D1 PE=4 SV=1 - [W5PYL6_SHEEP]
W5PYQ8	Uncharacterized protein OS=Ovis aries GN=TRAM2 PE=4 SV=1 - [W5PYQ8_SHEEP]
W5PYR0	Uncharacterized protein (Fragment) OS=Ovis aries GN=PCBD2 PE=3 SV=1 - [W5PYR0_SHEEP]
W5PYS8	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PYS8_SHEEP]
W5PYW3	C-X-C motif chemokine OS=Ovis aries GN=LOC101103238 PE=3 SV=1 - [W5PYW3_SHEEP]
W5PZ48	Uncharacterized protein OS=Ovis aries GN=CTSH PE=3 SV=1 - [W5PZ48_SHEEP]
W5PZ65	Uncharacterized protein (Fragment) OS=Ovis aries GN=PSMA7 PE=4 SV=1 - [W5PZ65_SHEEP]
W5PZ78	Uncharacterized protein (Fragment) OS=Ovis aries GN=NF1 PE=4 SV=1 - [W5PZ78_SHEEP]
W5PZ94	Aconitate hydratase OS=Ovis aries GN=ACO1 PE=3 SV=1 - [W5PZ94_SHEEP]
W5PZ98	Uncharacterized protein (Fragment) OS=Ovis aries GN=KIAA1462 PE=4 SV=1 - [W5PZ98_SHEEP]
W5PZB0	Uncharacterized protein OS=Ovis aries GN=APLP2 PE=4 SV=1 - [W5PZB0_SHEEP]
W5PZB9	Uncharacterized protein OS=Ovis aries GN=COL6A6 PE=4 SV=1 - [W5PZB9_SHEEP]
W5PZC7	Uncharacterized protein OS=Ovis aries GN=DHRS3 PE=3 SV=1 - [W5PZC7_SHEEP]
W5PZD0	Uncharacterized protein OS=Ovis aries GN=LOC101110099 PE=4 SV=1 - [W5PZD0_SHEEP]
W5PZD2	Uncharacterized protein OS=Ovis aries GN=ALDH8A1 PE=3 SV=1 - [W5PZD2_SHEEP]
W5PZI1	Clusterin OS=Ovis aries GN=CLU PE=3 SV=1 - [W5PZI1_SHEEP]
W5PZJ1	Uncharacterized protein OS=Ovis aries GN=SCGB2A2 PE=4 SV=1 - [W5PZJ1_SHEEP]
W5PZK4	Uncharacterized protein (Fragment) OS=Ovis aries GN=IFIT5 PE=4 SV=1 - [W5PZK4_SHEEP]
W5PZM9	Annexin OS=Ovis aries GN=ANXA5 PE=3 SV=1 - [W5PZM9_SHEEP]
W5PZN9	Uncharacterized protein OS=Ovis aries GN=ESCO2 PE=4 SV=1 - [W5PZN9_SHEEP]
W5PZQ1	Uncharacterized protein (Fragment) OS=Ovis aries GN=STT3B PE=4 SV=1 - [W5PZQ1_SHEEP]
W5PZU1	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5PZU1_SHEEP]
W5PZX0	Uncharacterized protein OS=Ovis aries GN=KRT24 PE=3 SV=1 - [W5PZX0_SHEEP]
W5Q021	Uncharacterized protein (Fragment) OS=Ovis aries GN=FAM20A PE=4 SV=1 - [W5Q021_SHEEP]
W5Q0B5	Uncharacterized protein OS=Ovis aries GN=PPP2R1A PE=4 SV=1 - [W5Q0B5_SHEEP]
W5Q0F3	Uncharacterized protein (Fragment) OS=Ovis aries GN=TGFBI PE=4 SV=1 - [W5Q0F3_SHEEP]
W5Q0L2	Uncharacterized protein OS=Ovis aries GN=SERPINA5 PE=3 SV=1 - [W5Q0L2_SHEEP]
W5Q0Q1	Uncharacterized protein (Fragment) OS=Ovis aries GN=YWHAQ PE=4 SV=1 - [W5Q0Q1_SHEEP]
W5Q0V2	Uncharacterized protein (Fragment) OS=Ovis aries GN=BTD PE=4 SV=1 - [W5Q0V2_SHEEP]
W5Q0X5	Uncharacterized protein OS=Ovis aries GN=LOC101115576 PE=3 SV=1 - [W5Q0X5_SHEEP]
W5Q0X8	Uncharacterized protein OS=Ovis aries GN=LOC101116443 PE=4 SV=1 - [W5Q0X8_SHEEP]
W5Q115	Uncharacterized protein OS=Ovis aries GN=SEMA3A PE=4 SV=1 - [W5Q115_SHEEP]
W5Q124	Uncharacterized protein OS=Ovis aries GN=LOC101119509 PE=3 SV=1 - [W5Q124_SHEEP]
W5Q138	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5Q138_SHEEP]
W5Q152	Uncharacterized protein OS=Ovis aries GN=GNA13 PE=4 SV=1 - [W5Q152_SHEEP]
W5Q160	Uncharacterized protein OS=Ovis aries GN=KRT10 PE=3 SV=1 - [W5Q160_SHEEP]
W5Q1C9	Uncharacterized protein (Fragment) OS=Ovis aries GN=P4HA2 PE=4 SV=1 - [W5Q1C9_SHEEP]
W5Q1F9	Uncharacterized protein (Fragment) OS=Ovis aries GN=C1QTNF5 PE=4 SV=1 - [W5Q1F9_SHEEP]
W5Q1K5	Uncharacterized protein OS=Ovis aries GN=SYCP2 PE=4 SV=1 - [W5Q1K5_SHEEP]
W5Q1L2	Uncharacterized protein OS=Ovis aries GN=HSPD1 PE=3 SV=1 - [W5Q1L2_SHEEP]
W5Q1M0	Beta-galactosidase (Fragment) OS=Ovis aries GN=GLB1 PE=3 SV=1 - [W5Q1M0_SHEEP]
W5Q1Q6	Phosphoinositide phospholipase C (Fragment) OS=Ovis aries GN=PLCL2 PE=4 SV=1 - [W5Q1Q6_SHEEP]
W5Q1R7	Uncharacterized protein OS=Ovis aries GN=NUDCD3 PE=4 SV=1 - [W5Q1R7_SHEEP]
W5Q1W2	Uncharacterized protein OS=Ovis aries GN=SDCBP PE=4 SV=1 - [W5Q1W2_SHEEP]
W5Q1W8	Uncharacterized protein OS=Ovis aries GN=GNPTG PE=4 SV=1 - [W5Q1W8_SHEEP]
W5Q1X3	Uncharacterized protein OS=Ovis aries GN=LRRC8C PE=4 SV=1 - [W5Q1X3_SHEEP]
W5Q1Z5	Uncharacterized protein OS=Ovis aries GN=LOC101122922 PE=4 SV=1 - [W5Q1Z5_SHEEP]
W5Q268	Uncharacterized protein OS=Ovis aries GN=APOH PE=4 SV=1 - [W5Q268_SHEEP]
W5Q282	Uncharacterized protein OS=Ovis aries GN=PDIA6 PE=3 SV=1 - [W5Q282_SHEEP]
W5Q2A0	Uncharacterized protein OS=Ovis aries GN=ARMC4 PE=4 SV=1 - [W5Q2A0_SHEEP]
W5Q2E1	Uncharacterized protein OS=Ovis aries GN=LUM PE=4 SV=1 - [W5Q2E1_SHEEP]
W5Q2F4	S-(hydroxymethyl)glutathione dehydrogenase OS=Ovis aries GN=ADH5 PE=3 SV=1 - [W5Q2F4_SHEEP]
W5Q2G4	Voltage-dependent calcium channel gamma subunit OS=Ovis aries GN=CACNG5 PE=3 SV=1 - [W5Q2G4_SHEEP]
W5Q2J4	Uncharacterized protein (Fragment) OS=Ovis aries GN=DIP2C PE=4 SV=1 - [W5Q2J4_SHEEP]
W5Q2M0	Uncharacterized protein OS=Ovis aries GN=LOC101121159 PE=4 SV=1 - [W5Q2M0_SHEEP]
W5Q2N4	Uncharacterized protein OS=Ovis aries GN=TMEM132A PE=4 SV=1 - [W5Q2N4_SHEEP]
W5Q2P0	Uncharacterized protein (Fragment) OS=Ovis aries GN=PCLO PE=4 SV=1 - [W5Q2P0_SHEEP]
W5Q2R6	Uncharacterized protein OS=Ovis aries GN=IFT140 PE=4 SV=1 - [W5Q2R6_SHEEP]
W5Q2S7	Transmembrane channel-like protein OS=Ovis aries GN=TMC3 PE=3 SV=1 - [W5Q2S7_SHEEP]
W5Q2V0	Uncharacterized protein OS=Ovis aries GN=YKT6 PE=4 SV=1 - [W5Q2V0_SHEEP]
W5Q2Y1	Uncharacterized protein OS=Ovis aries GN=PLXNC1 PE=4 SV=1 - [W5Q2Y1_SHEEP]
W5Q302	Uncharacterized protein OS=Ovis aries GN=GANAB PE=3 SV=1 - [W5Q302_SHEEP]
W5Q305	Uncharacterized protein (Fragment) OS=Ovis aries GN=GANAB PE=3 SV=1 - [W5Q305_SHEEP]
W5Q329	Uncharacterized protein OS=Ovis aries GN=UGGT1 PE=4 SV=1 - [W5Q329_SHEEP]
W5Q369	Uncharacterized protein (Fragment) OS=Ovis aries GN=RASAL2 PE=4 SV=1 - [W5Q369_SHEEP]
W5Q3E3	Uncharacterized protein OS=Ovis aries GN=RAB2A PE=3 SV=1 - [W5Q3E3_SHEEP]
W5Q3E4	Uncharacterized protein (Fragment) OS=Ovis aries GN=NAAA PE=4 SV=1 - [W5Q3E4_SHEEP]
W5Q3F0	Uncharacterized protein OS=Ovis aries GN=TGFBR3 PE=4 SV=1 - [W5Q3F0_SHEEP]
W5Q3G0	Ubiquitin carboxyl-terminal hydrolase OS=Ovis aries GN=USP44 PE=3 SV=1 - [W5Q3G0_SHEEP]
W5Q3G4	Uncharacterized protein OS=Ovis aries GN=MYO7B PE=4 SV=1 - [W5Q3G4_SHEEP]
W5Q3I2	Uncharacterized protein OS=Ovis aries GN=GLYCAM1 PE=4 SV=1 - [W5Q3I2_SHEEP]
W5Q3K6	Uncharacterized protein OS=Ovis aries GN=PROC PE=3 SV=1 - [W5Q3K6_SHEEP]
W5Q3N0	Uncharacterized protein OS=Ovis aries GN=MTL5 PE=4 SV=1 - [W5Q3N0_SHEEP]
W5Q3P7	Uncharacterized protein OS=Ovis aries GN=ITFG1 PE=4 SV=1 - [W5Q3P7_SHEEP]
W5Q3Q6	Uncharacterized protein OS=Ovis aries GN=TRBV14 PE=4 SV=1 - [W5Q3Q6_SHEEP]
W5Q3T9	Uncharacterized protein OS=Ovis aries GN=PDCD6IP PE=4 SV=1 - [W5Q3T9_SHEEP]
W5Q3W4	Uncharacterized protein OS=Ovis aries GN=RAB18 PE=3 SV=1 - [W5Q3W4_SHEEP]
W5Q405	Uncharacterized protein (Fragment) OS=Ovis aries GN=NCKIPSD PE=4 SV=1 - [W5Q405_SHEEP]
W5Q411	Uncharacterized protein OS=Ovis aries GN=HSPA13 PE=3 SV=1 - [W5Q411_SHEEP]
W5Q430	Uncharacterized protein (Fragment) OS=Ovis aries GN=IDUA PE=4 SV=1 - [W5Q430_SHEEP]
W5Q4A1	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5Q4A1_SHEEP]
W5Q4E1	Uncharacterized protein OS=Ovis aries GN=HSP90B1 PE=3 SV=1 - [W5Q4E1_SHEEP]
W5Q4G4	Transcription factor AP-2-alpha (Fragment) OS=Ovis aries GN=TFAP2A PE=4 SV=1 - [W5Q4G4_SHEEP]
W5Q4G8	Uncharacterized protein OS=Ovis aries GN=KDM3B PE=4 SV=1 - [W5Q4G8_SHEEP]
W5Q4I2	Uncharacterized protein (Fragment) OS=Ovis aries GN=MRPS34 PE=4 SV=1 - [W5Q4I2_SHEEP]
W5Q4Q3	Uncharacterized protein OS=Ovis aries GN=SERPIND1 PE=3 SV=1 - [W5Q4Q3_SHEEP]
W5Q4S3	Uncharacterized protein OS=Ovis aries GN=RPL3 PE=3 SV=1 - [W5Q4S3_SHEEP]
W5Q4X4	Uncharacterized protein OS=Ovis aries GN=C12orf10 PE=4 SV=1 - [W5Q4X4_SHEEP]
W5Q501	Uncharacterized protein OS=Ovis aries GN=GNAS PE=4 SV=1 - [W5Q501_SHEEP]
W5Q509	Uncharacterized protein OS=Ovis aries GN=BSCL2 PE=4 SV=1 - [W5Q509_SHEEP]
W5Q517	Uncharacterized protein OS=Ovis aries GN=PCOLCE PE=4 SV=1 - [W5Q517_SHEEP]
W5Q532	Uncharacterized protein (Fragment) OS=Ovis aries GN=PRDX4 PE=4 SV=1 - [W5Q532_SHEEP]
W5Q542	Uncharacterized protein OS=Ovis aries GN=SMC6 PE=4 SV=1 - [W5Q542_SHEEP]
W5Q560	Uncharacterized protein OS=Ovis aries GN=OGFOD3 PE=4 SV=1 - [W5Q560_SHEEP]
